date,callsAnswered
11/7/2016,5884
11/8/2016,5600
11/9/2016,5650
11/10/2016,5517
11/11/2016,5566
11/12/2016,2698
11/13/2016,1855
11/14/2016,
11/15/2016,
11/16/2016,
11/17/2016,
11/18/2016,
11/19/2016,
11/20/2016,
11/21/2016,7283
11/22/2016,7059
11/23/2016,6960
11/24/2016,6625
11/25/2016,6465
11/26/2016,2854
11/27/2016,2138
11/28/2016,7032
11/29/2016,6849
11/30/2016,6417
12/1/2016,6115
12/2/2016,6527
12/3/2016,2965
12/4/2016,2089
12/5/2016,
12/6/2016,
12/7/2016,
12/8/2016,
12/9/2016,
12/10/2016,
12/11/2016,
12/12/2016,2459
12/13/2016,1870
12/14/2016,6629
12/15/2016,6351
12/16/2016,5739
12/17/2016,2717
12/18/2016,1935
12/19/2016,6528
12/20/2016,6273
12/21/2016,6730
12/22/2016,6339
12/23/2016,6437
12/24/2016,3213
12/25/2016,3143
12/26/2016,6286
12/27/2016,6591
12/28/2016,6267
12/29/2016,6020
12/30/2016,5426
12/31/2016,2443
1/1/2017,1467
1/2/2017,5419
1/3/2017,5760
1/4/2017,6012
1/5/2017,5742
1/6/2017,5370
1/7/2017,3080
1/8/2017,1953
1/9/2017,6539
1/10/2017,6064
1/11/2017,5934
1/12/2017,2042
1/13/2017,6256
1/14/2017,2293
1/15/2017,1935
1/16/2017,6398
1/17/2017,6079
1/18/2017,5932
1/19/2017,5911
1/20/2017,6568
1/21/2017,3076
1/22/2017,2206
1/23/2017,
1/24/2017,
1/25/2017,
1/26/2017,
1/27/2017,
1/28/2017,
1/29/2017,
1/30/2017,7868
1/31/2017,7525
2/1/2017,7890
2/2/2017,7837
2/3/2017,7599
2/4/2017,3132
2/5/2017,3342
2/6/2017,8502
2/7/2017,9304
2/8/2017,9388
2/9/2017,9145
2/10/2017,4229
2/11/2017,4868
2/12/2017,4184
2/13/2017,9332
2/14/2017,9500
2/15/2017,9119
2/16/2017,8374
2/17/2017,7632
2/18/2017,3475
2/19/2017,2373
2/20/2017,7659
2/21/2017,6659
2/22/2017,6197
2/23/2017,6363
2/24/2017,3036
2/25/2017,2668
2/26/2017,1808
2/27/2017,6656
2/28/2017,5901
3/1/2017,5586
3/2/2017,5635
3/3/2017,5457
3/4/2017,2436
3/5/2017,1865
3/6/2017,
3/7/2017,
3/8/2017,
3/9/2017,
3/10/2017,
3/11/2017,
3/12/2017,
3/13/2017,6521
3/14/2017,5985
3/15/2017,5667
3/16/2017,6625
3/17/2017,5197
3/18/2017,2377
3/19/2017,1733
3/20/2017,
3/21/2017,
3/22/2017,
3/23/2017,
3/24/2017,
3/25/2017,
3/26/2017,
3/27/2017,6000
3/28/2017,6253
3/29/2017,5520
3/30/2017,5372
3/31/2017,4950
4/1/2017,2277
4/2/2017,1663
4/3/2017,5768
4/4/2017,5369
4/5/2017,5520
4/6/2017,5054
4/7/2017,5778
4/8/2017,2805
4/9/2017,1860
4/10/2017,1791
4/11/2017,5116
4/12/2017,4028
4/13/2017,2296
4/14/2017,2304
4/15/2017,2024
4/16/2017,1884
4/17/2017,4642
4/18/2017,4764
4/19/2017,5245
4/20/2017,5338
4/21/2017,4926
4/22/2017,2346
4/23/2017,1646
4/24/2017,5568
4/25/2017,5003
4/26/2017,5206
4/27/2017,5338
4/28/2017,5032
4/29/2017,2451
4/30/2017,1829
5/1/2017,1826
5/2/2017,5624
5/3/2017,5252
5/4/2017,5514
5/5/2017,5789
5/6/2017,2424
5/7/2017,1729
5/8/2017,5621
5/9/2017,5070
5/10/2017,1272
5/11/2017,1849
5/12/2017,5316
5/13/2017,2372
5/14/2017,1891
5/15/2017,
5/16/2017,
5/17/2017,
5/18/2017,
5/19/2017,
5/20/2017,
5/21/2017,
5/22/2017,
5/23/2017,
5/24/2017,
5/25/2017,
5/26/2017,
5/27/2017,
5/28/2017,
5/29/2017,
5/30/2017,
5/31/2017,
6/1/2017,
6/2/2017,
6/3/2017,
6/4/2017,
6/5/2017,5891
6/6/2017,6589
6/7/2017,6190
6/8/2017,1679
6/9/2017,5511
6/10/2017,2446
6/11/2017,1891
6/12/2017,6255
6/13/2017,6550
6/14/2017,6602
6/15/2017,5836
6/16/2017,5710
6/17/2017,2723
6/18/2017,1741
6/19/2017,6579
6/20/2017,6544
6/21/2017,6984
6/22/2017,6774
6/23/2017,6359
6/24/2017,3191
6/25/2017,1867
6/26/2017,
6/27/2017,
6/28/2017,
6/29/2017,
6/30/2017,
